NAME                           VERSION                                TYPE                       
openssl                        3.5.5-1ubuntu3.2                       deb                        
openssl-provider-legacy        3.5.5-1ubuntu3.2                       deb                        
packages-microsoft-prod        1.2-ubuntu24.04                        deb                        
packaging                      24.2                                   python                     
packaging                      26.0                                   python                     
passwd                         1:4.17.4-2ubuntu3                      deb                        
perl-base                      5.40.1-7ubuntu0.1                      deb                        
pip                            25.1.1                                 python                     
platformdirs                   4.2.2                                  python                     
procps                         2:4.0.4-9ubuntu1                       deb                        
psycopg2                       2.9.11                                 python                     
pyasn1                         0.6.3                                  python                     
pyasn1-modules                 0.4.1                                  python                     
pycryptodomex                  3.20.0                                 python                     
pymysql                        1.1.1                                  python                     
pyodbc                         5.3.0                                  python                     
pyopenssl                      25.3.0                                 python                     
pyrfc3339                      2.0.1                                  python                     
pysocks                        1.7.1                                  python                     
pyspnego                       0.10.2                                 python                     
python-dateutil                2.9.0                                  python                     
python3                        3.14.3-0ubuntu2                        deb                        
python3-acme                   4.0.0-2                                deb                        
python3-asgiref                3.11.0-1                               deb                        
python3-autocommand            2.2.2-4                                deb                        
python3-bcrypt                 5.0.0-3build1                          deb                        
python3-blinker                1.9.0-2build1                          deb                        
python3-certifi                2026.1.4+ds-1                          deb                        
python3-cffi-backend           2.0.0-3build1                          deb                        
python3-chardet                5.2.0+dfsg-2build1                     deb                        
python3-charset-normalizer     3.4.4-2build1                          deb                        
python3-click                  8.2.0+0.really.8.1.8-1build1           deb                        
python3-configargparse         1.7-2                                  deb                        
python3-cryptography           46.0.5-1ubuntu2                        deb                        
python3-dateutil               2.9.0-4build1                          deb                        
python3-decorator              5.2.1-2                                deb                        
python3-deprecated             1.3.1-1                                deb                        
python3-django                 3:5.2.9-0ubuntu4.1                     deb                        
python3-dnspython              2.8.0-1ubuntu1                         deb                        
python3-flask                  3.1.3-1ubuntu1                         deb                        
python3-gssapi                 1.10.1-1build1                         deb                        
python3-idna                   3.11-1                                 deb                        
python3-impacket               0.13.0-2                               deb                        
python3-inflect                7.5.0-1build1                          deb                        
python3-itsdangerous           2.2.0-2build1                          deb                        
python3-jaraco.context         6.0.1-2                                deb                        
python3-jaraco.functools       4.1.0-1build1                          deb                        
python3-jaraco.text            4.0.0-1build1                          deb                        
python3-jinja2                 3.1.6-1build1                          deb                        
python3-josepy                 2.2.0-1                                deb                        
python3-jwcrypto               1.5.6-1                                deb                        
python3-ldap3                  2.9.1-2build1                          deb                        
python3-ldapdomaindump         0.9.4-2build1                          deb                        
python3-markupsafe             3.0.3-1build1                          deb                        
python3-minimal                3.14.3-0ubuntu2                        deb                        
python3-more-itertools         10.8.0-1build1                         deb                        
python3-mssql-django           1.6-1                                  deb                        
python3-mysqldb                1.4.6-2build8                          deb                        
python3-openssl                25.3.0-1ubuntu1                        deb                        
python3-packaging              26.0-1                                 deb                        
python3-pip                    25.1.1+dfsg-1ubuntu2                   deb                        
python3-pkg-resources          78.1.1-0.1build1                       deb                        
python3-psycopg2               2.9.11-1build1                         deb                        
python3-pyasn1                 0.6.3-1                                deb                        
python3-pyasn1-modules         0.4.1-2build1                          deb                        
python3-pycryptodome           3.20.0+dfsg-3build1                    deb                        
python3-pymysql                1.1.1-2ubuntu1                         deb                        
python3-pyodbc                 5.3.0-1build1                          deb                        
python3-pyspnego               0.10.2-3                               deb                        
python3-pytz                   2025.2-5                               deb                        
python3-requests               2.32.5+dfsg-1ubuntu1                   deb                        
